family,student,config,before_n_seeds,before_acc_mean,before_acc_std,before_macro_f1_mean,before_macro_f1_std,before_blackhole_f1,before_flooding_f1,before_grayhole_f1,before_normal_f1,before_tdma_f1,before_params,before_size_kb,after_full10_n_seeds,after_full10_acc_mean,after_full10_acc_std,after_full10_macro_f1_mean,after_full10_macro_f1_std,after_full10_blackhole_f1,after_full10_flooding_f1,after_full10_grayhole_f1,after_full10_normal_f1,after_full10_tdma_f1,delta_macro_f1_full10_minus_before,delta_acc_full10_minus_before,incomplete_n2_n_seeds,incomplete_n2_macro_f1_mean,incomplete_n2_note,in_archived_only,in_trainonly_only,protocol_before,protocol_after
wsn_multiseed_predictive,A,A_RF_500,10,0.996599644128114,5.123195746935403e-05,0.9788888430705942,0.0002514417158354,0.9903957236265056,0.9633025708283366,0.98333289531138,0.998394885464682,0.9590181401220668,,85064.5361328125,10.0,0.9965907473309608,5.943048659491634e-05,0.9788502941560824,0.0002670496364152,0.9903957236265056,0.9632084466225692,0.9832391666967846,0.9983899937124864,0.9590181401220668,-3.854891451182674e-05,-8.896797153212788e-06,2.0,0.9787577841055746,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,B_Full_MLP,10,0.9873220640569396,0.0003988504714301,0.9231949934342208,0.0023753226388243,0.8686063627222268,0.9385401593405108,0.876712653987872,0.9972290328398546,0.9348867582806392,69893.0,273.01953125,10.0,0.9872633451957296,0.000316061075401,0.9226887762531352,0.0020062386205199,0.8672306992018963,0.9383622154558102,0.8772657449747779,0.9972152442290452,0.9333699774041456,-0.0005062171810856775,-5.871886121000536e-05,2.0,0.9214800806926664,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,C2_CL_MLP_domain,10,0.9857313167259788,0.0004806543550829,0.9138075716951344,0.0031582214534915,0.8434452108985735,0.9381933485212351,0.8566409038089049,0.99715027827313,0.9336081169738282,69893.0,273.01953125,10.0,0.9856548042704628,0.0007470861411493,0.9131371118601588,0.0045405767015448,0.8425479405398836,0.936425131478382,0.8557025731807391,0.9971443729220324,0.9338655411797572,-0.0006704598349756008,-7.651245551598684e-05,2.0,0.911090216478642,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,C_CL_MLP_loss,10,0.9858861209964414,0.0006486149542669,0.9147295397337878,0.0039033725301293,0.848594642951632,0.9373032805386472,0.8557640458693282,0.9971758813919612,0.9348098479173697,69893.0,273.01953125,10.0,0.9857259786476869,0.0006639657720638,0.9135861700874944,0.0038551845773975,0.8445725592575479,0.9366087541879942,0.8558451708410644,0.9971551998336606,0.9337491663172052,-0.0011433696462933574,-0.0001601423487544995,2.0,0.9118642964555828,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,C_CL_MLP_loss_ext,10,0.9786672597864768,0.0237895490864476,0.8672566232448489,0.1548196369474477,0.7735441223368222,0.9193659665323206,0.7793706599142542,0.9960293978633354,0.8679729695775121,69893.0,273.01953125,10.0,0.9785907473309609,0.0252353803987912,0.8674204900984448,0.1616812906197555,0.7702994816450504,0.922391975220462,0.7795825971424906,0.9960697254158462,0.8687586710683748,0.00016386685359592867,-7.651245551598684e-05,2.0,0.9204200327445308,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,C_CL_MLP_loss_fair,10,0.9858861209964414,0.0006486149542669,0.9147295397337878,0.0039033725301293,0.848594642951632,0.9373032805386472,0.8557640458693282,0.9971758813919612,0.9348098479173697,69893.0,273.01953125,10.0,0.9857259786476869,0.0006639657720638,0.9135861700874944,0.0038551845773975,0.8445725592575479,0.9366087541879942,0.8558451708410644,0.9971551998336606,0.9337491663172052,-0.0011433696462933574,-0.0001601423487544995,2.0,0.9118642964555828,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,D_Small_MLP,10,0.9847081850533808,0.0021250826434366,0.9123026008546002,0.0062229610520569,0.8486007785069386,0.9363428834005656,0.8467894929344488,0.9964083689428704,0.933371480488178,1189.0,4.64453125,10.0,0.984364768683274,0.0024941382685896,0.910902993186332,0.0068434659889499,0.8471666944766769,0.9355546372749216,0.844835528550109,0.9962484405622648,0.9307096650676884,-0.001399607668268188,-0.00034341637010670834,2.0,0.91048673880095,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,E2_KD_from_MLP,10,0.9861263345195732,0.0004257133706651,0.9163546313645536,0.0027587524475505,0.8501986770126948,0.9421931506766344,0.8600288437383028,0.9972093767070588,0.9321431086880768,1189.0,4.64453125,10.0,0.9853914590747332,0.0003616572056803,0.9120394941841938,0.0023354268049633,0.8360044179291725,0.9448754862841944,0.8524867798634084,0.9971838060121004,0.9296469808320944,-0.004315137180359807,-0.0007348754448399664,2.0,0.9117384531066964,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,E_KD_from_RF,10,0.9868754448398576,0.0005172521658411,0.9199713533197722,0.0031241763505348,0.8380575027433327,0.9531032789978972,0.8592567283550266,0.9978972133845344,0.9515420431180704,1189.0,4.64453125,10.0,0.9869430604982206,0.0010661252282702,0.9203444861873752,0.006513084530571,0.8370072850696519,0.9545673368561076,0.8603681451342478,0.997891823767702,0.9518878401091668,0.0003731328676029877,6.76156583629961e-05,2.0,0.922050582689976,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
wsn_multiseed_predictive,A,F_KD_from_CL_MLP,10,0.9855088967971528,0.0003335717624327,0.9129124186422604,0.0021260766535441,0.8392742568061401,0.9418330122547476,0.8532352690488578,0.9971513002837108,0.9330682548178456,1189.0,4.64453125,10.0,0.9850658362989324,0.0004147642346395,0.9104895552870976,0.00310359067994,0.8331599789560169,0.944617047531734,0.8469502253826784,0.9971434133449476,0.9305771112201112,-0.00242286335516273,-0.0004430604982204045,2.0,0.9094917663110408,DO_NOT_USE_as_primary,False,False,archived_pre_split_scaler_10seed,train_only_scaler_random_row_10seed
