model,fg_n_seeds,fg_n_test_rows,fg_macro_f1_seed_42,fg_macro_f1_seed_123,fg_macro_f1_seed_456,fg_macro_f1_seed_789,fg_macro_f1_seed_1001,fg_macro_f1_mean,fg_macro_f1_sample_std,aggregate_json_mean_unchanged,mean_equals_numpy_mean_of_values,archived_randomrow10_macro_f1,trainonly_randomrow10_macro_f1,delta_fg_minus_archived,delta_fg_minus_trainonly10,false_alarm_note
A_RF_KD,5,56301,0.9160761302322431,0.9210575900826801,0.9101979257019259,0.9042445625698784,0.918985647518111,0.9141123712209677,0.006865452782879801,0.9141123712209677,True,0.9199713533197722,0.9203444861873752,-0.005858982098804533,-0.00623211496640752,"Prior list [0.9103,0.9234,...] is NOT in source files; source values are the five columns above"
A_SCRATCH,5,56301,0.9105228181079894,0.9122100616291939,0.9110647225766497,0.9138671494455132,0.9217264125623281,0.9138782328643348,0.004570325234869203,0.9138782328643348,True,0.9123026008546002,0.910902993186332,0.00157563200973454,0.002975239678002728,"Prior list [0.9103,0.9234,...] is NOT in source files; source values are the five columns above"
B_RF_KD,5,56301,0.9223807931422797,0.9343098023532473,0.9228321712991224,0.9232400846320541,0.9379597090269585,0.9281445120907325,0.007413563994772633,0.9281445120907325,True,0.9328081908495188,0.939173439381416,-0.0046636787587863715,-0.011028927290683499,"Prior list [0.9103,0.9234,...] is NOT in source files; source values are the five columns above"
B_SCRATCH,5,56301,0.925108820154686,0.9238999192107356,0.9375211566279967,0.9307149146483843,0.931729031954388,0.9297947685192381,0.005499829033431612,0.9297947685192381,True,0.9321689869057276,0.9313411490547344,-0.002374218386489435,-0.0015463805354962723,"Prior list [0.9103,0.9234,...] is NOT in source files; source values are the five columns above"
