family,model_name,runtime,variant,status,accuracy,macro_f1,size_kb,latency_p50_ms_b1,latency_p95_ms_b1,openvino_agree_vs_onnx,protocol,agree_vs_pytorch,agree_vs_ort
runtime_archived,D_student_A_scratch,onnxruntime,onnx_fp32,ok,0.9845551601423488,0.9069462162012392,5.4423828125,0.0266999995801597,0.033609993988648,,archived_global_scaler_artifacts,,
runtime_archived,D_student_A_scratch,onnxruntime,onnx_dynamic_int8,ok,0.9811743772241992,0.891390645521625,5.0693359375,0.0393000082112848,0.051274982979521,,archived_global_scaler_artifacts,,
runtime_archived,D_student_A_scratch,openvino,openvino_fp32_from_onnx,ok,0.9845551601423488,0.9069462162012392,5.4423828125,0.1288999919779598,0.2799900059471837,1.0,archived_global_scaler_artifacts,,
runtime_archived,E_student_A_KD_from_RF,onnxruntime,onnx_fp32,ok,0.986370106761566,0.9174778194854468,5.4423828125,0.0275000056717544,0.0689000007696449,,archived_global_scaler_artifacts,,
runtime_archived,E_student_A_KD_from_RF,onnxruntime,onnx_dynamic_int8,ok,0.9836654804270464,0.9006015821374727,5.0693359375,0.0395000097341835,0.1013199856970459,,archived_global_scaler_artifacts,,
runtime_archived,E_student_A_KD_from_RF,openvino,openvino_fp32_from_onnx,ok,0.986370106761566,0.9174778194854468,5.4423828125,0.1307000056840479,0.4291949764592568,1.0,archived_global_scaler_artifacts,,
runtime_archived,J_student_A_CoDistill_RF_CL,onnxruntime,onnx_fp32,ok,0.9877758007117438,0.9253557142274365,5.4423828125,0.0279000087175518,0.084965006681159,,archived_global_scaler_artifacts,,
runtime_archived,J_student_A_CoDistill_RF_CL,onnxruntime,onnx_dynamic_int8,ok,0.983238434163701,0.8993300318147682,5.0693359375,0.039499980630353,0.0601549923885613,,archived_global_scaler_artifacts,,
runtime_archived,J_student_A_CoDistill_RF_CL,openvino,openvino_fp32_from_onnx,ok,0.9877758007117438,0.9253557142274365,5.4423828125,0.1317999849561602,0.4456500158994458,1.0,archived_global_scaler_artifacts,,
runtime_archived,D_student_B_scratch,onnxruntime,onnx_fp32,ok,0.9885053380782918,0.930173172491448,14.0693359375,0.0288999872282147,0.030810001771897,,archived_global_scaler_artifacts,,
runtime_archived,D_student_B_scratch,onnxruntime,onnx_dynamic_int8,ok,0.9840747330960854,0.9040709961731628,7.3701171875,0.0392000074498355,0.0543750065844505,,archived_global_scaler_artifacts,,
runtime_archived,D_student_B_scratch,openvino,openvino_fp32_from_onnx,ok,0.9885053380782918,0.930173172491448,14.0693359375,0.1313000102527439,0.4623799934051923,1.0,archived_global_scaler_artifacts,,
runtime_archived,E_student_B_KD_from_RF,onnxruntime,onnx_fp32,ok,0.9910498220640568,0.9447068911475066,14.0693359375,0.0285000132862478,0.0713049914338626,,archived_global_scaler_artifacts,,
runtime_archived,E_student_B_KD_from_RF,onnxruntime,onnx_dynamic_int8,ok,0.9874911032028468,0.9230945049555134,7.3701171875,0.0396000104956328,0.0549150092410854,,archived_global_scaler_artifacts,,
runtime_archived,E_student_B_KD_from_RF,openvino,openvino_fp32_from_onnx,ok,0.9910498220640568,0.9447068911475066,14.0693359375,0.1304000033996999,0.4742799996165554,1.0,archived_global_scaler_artifacts,,
runtime_archived,J_student_B_CoDistill_RF_CL,onnxruntime,onnx_fp32,ok,0.988932384341637,0.9318301577434018,14.0693359375,0.0284000125247985,0.0594450146309099,,archived_global_scaler_artifacts,,
runtime_archived,J_student_B_CoDistill_RF_CL,onnxruntime,onnx_dynamic_int8,ok,0.9872241992882562,0.9213107452317076,7.3701171875,0.0400999851990491,0.1054999898769892,,archived_global_scaler_artifacts,,
runtime_archived,J_student_B_CoDistill_RF_CL,openvino,openvino_fp32_from_onnx,ok,0.988932384341637,0.9318301577434018,14.0693359375,0.1302000018768012,0.2785300224786621,1.0,archived_global_scaler_artifacts,,
runtime_train_only_onnx,E_student_A_KD_from_RF_train_only,onnxruntime,onnx_fp32,,0.991423487544484,0.9485087159320515,5.4423828125,0.027049999516748358,,,train_only_seed42_rfkd,1.0,
runtime_train_only_onnx,E_student_A_KD_from_RF_train_only,onnxruntime,onnx_dynamic_int8,,0.9822064056939501,0.893789697354604,5.0693359375,0.036899999031447805,,,train_only_seed42_rfkd,0.9861032028469751,
runtime_train_only_onnx,E_student_B_KD_from_RF_train_only,onnxruntime,onnx_fp32,,0.9911209964412812,0.9449299339062804,14.0693359375,0.021400001060101204,,,train_only_seed42_rfkd,1.0,
runtime_train_only_onnx,E_student_B_KD_from_RF_train_only,onnxruntime,onnx_dynamic_int8,,0.9845551601423488,0.906592462083893,7.3701171875,0.0380000001314329,,,train_only_seed42_rfkd,0.9897508896797153,
runtime_train_only_openvino,E_student_A_KD_from_RF_train_only,openvino,openvino_fp32_from_onnx,,0.991423487544484,0.9485087159320515,5.4423828125,0.1098000002457411,,,train_only_seed42_rfkd,1.0,1.0
runtime_train_only_openvino,E_student_B_KD_from_RF_train_only,openvino,openvino_fp32_from_onnx,,0.9911209964412812,0.9449299339062804,14.0693359375,0.11375000030966476,,,train_only_seed42_rfkd,1.0,1.0
