Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9966192170818505,4.640001711886365e-05,0.9789668035612424,0.000288876025928113,5,0.9903630363036303,0.00032336498254561624,0.9635118006525459,0.0010087431516773557,0.98353438652705,0.000527551265940968,0.9984066542009182,2.284345651846857e-05,0.9590181401220669,0.0001995667755950503,,85064.5361328125
B_Full_MLP,0.9875160142348754,0.00044769192467780975,0.924083909389241,0.0027482883653271364,5,0.8691080779465843,0.006822654863227477,0.9375661045879038,0.002592197508859236,0.8802469463804613,0.005610533295337048,0.997259541937613,0.00010293207070257573,0.9362388760936424,0.0024683870344504874,69893.0,273.01953125
C2_CL_MLP_domain,0.985814946619217,0.0005236760911785472,0.9144719760093294,0.00346540539910152,5,0.8451887741215349,0.00791315357046373,0.9391741413609347,0.004414150796442367,0.8581974630834124,0.00847177952077984,0.9971315739649583,4.9574823571517546e-05,0.9326679275158067,0.002257199215861998,69893.0,273.01953125
C_CL_MLP_loss,0.9861423487544485,0.0005869621044845435,0.9163526634927853,0.00349011459282337,5,0.8504818226052595,0.008166641033300219,0.9379296347673627,0.003970387580955221,0.8610998864947177,0.011730268021931655,0.9971650482366432,0.00010029576481581997,0.9350869253599429,0.0019132920916107546,69893.0,273.01953125
C_CL_MLP_loss_ext,0.98644128113879,0.00041986850402142936,0.9180359569068843,0.0024433662224807805,5,0.8585529953370099,0.005248025264249228,0.9373883281109509,0.0024134990519673136,0.8629463650224297,0.007577032664905934,0.9971847307646009,6.915665979720286e-05,0.9341073652994302,0.0027724599630271417,69893.0,273.01953125
C_CL_MLP_loss_fair,0.9861423487544485,0.0005869621044845435,0.9163526634927853,0.00349011459282337,5,0.8504818226052595,0.008166641033300219,0.9379296347673627,0.003970387580955221,0.8610998864947177,0.011730268021931655,0.9971650482366432,0.00010029576481581997,0.9350869253599429,0.0019132920916107546,69893.0,273.01953125
D_Small_MLP,0.9848220640569394,0.0020108178704822976,0.9120392180405359,0.005412051657100949,5,0.849907260828678,0.010699335394702995,0.933692104769389,0.0027462879164703385,0.8470027232905384,0.023484021810459093,0.9964980642753817,0.001073797386089098,0.9330959370386929,0.0052664353699561715,1189.0,4.64453125
E2_KD_from_MLP,0.9862064056939502,0.00044368533453404525,0.9168294681703879,0.0027547317071814673,5,0.8503778019226125,0.01020068221367476,0.942364972460236,0.002422829450863387,0.8602687367548913,0.004762279841184982,0.9972438284444642,9.829443844653211e-05,0.9338920012697353,0.0028478924438884983,1189.0,4.64453125
E_KD_from_RF,0.9869679715302491,0.0004822819076555558,0.920490432578475,0.002759353508391987,5,0.8398022101424425,0.0084094096238332,0.9535696000789045,0.0009326524922054528,0.8605674551576816,0.0053696600973485754,0.9979030899808867,5.817728457030797e-05,0.9506098075324596,0.0014353243278770206,1189.0,4.64453125
F_KD_from_CL_MLP,0.9854341637010677,0.0002467093240204486,0.9122585657552422,0.0016460520932533233,5,0.8372573937789387,0.008481107020248735,0.9409404168015179,0.002899025032632621,0.8523407036442625,0.0018518653767645003,0.9971650818957901,0.0001453925172647868,0.9335892326557017,0.0036607315269268567,1189.0,4.64453125
F_KD_from_CL_MLP_ext,0.9859003558718861,0.0005048616871324406,0.9151041907849276,0.003046638000300595,5,0.8421226078947504,0.008965776216570362,0.9466718235559547,0.0022105606144137238,0.8570905283125052,0.0067620604141491875,0.9972792348278434,5.147628872119858e-05,0.9323567593335851,0.0017737494929025489,1189.0,4.64453125
F_KD_from_CL_MLP_fair,0.9854341637010677,0.0002467093240204486,0.9122585657552422,0.0016460520932533233,5,0.8372573937789387,0.008481107020248735,0.9409404168015179,0.002899025032632621,0.8523407036442625,0.0018518653767645003,0.9971650818957901,0.0001453925172647868,0.9335892326557017,0.0036607315269268567,1189.0,4.64453125
G_KD_random_pacing,0.9858042704626335,0.00046049327030951845,0.9145569876753467,0.0032165989773606657,5,0.8439373797426329,0.011450763828621388,0.9436144327361913,0.0017572286966854214,0.8579683611390806,0.005313520641238975,0.9971631284629247,8.209924767462576e-05,0.9301016362959038,0.002929382211461981,1189.0,4.64453125
I_KD_from_SMOTE_MLP,0.9855978647686833,0.0007024842525454911,0.9135488556208893,0.004180003181916297,5,0.8380692397065237,0.011434115185093829,0.9508400604553351,0.002727022168908588,0.8541422887688664,0.00863678708826939,0.9972536931850126,9.508166063802797e-05,0.9274389959887092,0.005501573061664053,1189.0,4.64453125
