model_name,architecture,variant,accuracy,macro_precision,macro_recall,macro_f1,macro_f1_delta_vs_fp32,per_class_f1,params,flops_per_sample,theoretical_fp32_size_kb,serialized_size_kb,compression_ratio_vs_rf,compression_ratio_vs_full_mlp_fp32,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1,latency_mean_ms_b1,latency_std_ms_b1,throughput_samples_per_s_b1,latency_p50_ms_b64,latency_p95_ms_b64,latency_p99_ms_b64,latency_mean_ms_b64,latency_std_ms_b64,throughput_samples_per_s_b64,qat_backend,proof_seed
D_student_A_scratch,"Student MLP (32, 16)",qat_int8,0.9823131672597865,0.8827058297311966,0.925013906825658,0.9002909166871877,-0.006655299514051527,"[0.8232872684504557, 0.925512104283054, 0.8064592733317502, 0.9961187371648111, 0.9500772002058672]",1189.0,2373.0,4.64453125,9.205078125,9258.364629747506,30.91120305537874,14.419599996472243,16.055445002712077,17.308010009437567,14.505874699752894,0.7967285629110116,68.93758706029874,14.625799994973931,16.386255002726102,17.369378987059463,14.741780999999415,0.8018767503598406,4341.402168435588,fbgemm,9999
E_student_A_KD_from_RF,"Student MLP (32, 16)",qat_int8,0.9812455516014235,0.8813425488151474,0.926041097966053,0.8996444871785103,-0.0178333323069364,"[0.8261120739456961, 0.9324577861163227, 0.7880794701986755, 0.9955462044419974, 0.9560269011898603]",1189.0,2373.0,4.64453125,9.400390625,9066.003012674008,30.268959069187616,14.872899999318179,16.311265001422726,17.385403001389932,14.938348300027428,0.7691253130268276,66.94180507212862,15.215699997497723,17.16474000713788,18.254558002081463,15.313642333445992,1.001787453886525,4179.280056725618,fbgemm,9999
J_student_A_CoDistill_RF_CL,"Student MLP (32, 16)",qat_int8,0.985355871886121,0.9010610782048843,0.945621705116625,0.9212121891999804,-0.004143525027455963,"[0.8797061524334252, 0.9281045751633987, 0.8523168226432322, 0.9957536320207601, 0.9501797637390857]",1189.0,2373.0,4.64453125,9.517578125,8954.375641288734,29.89626513441412,14.472449998720549,15.831174998311326,16.627921004401287,14.532072799716843,0.7520951688449156,68.81330790054155,14.625050003814977,16.03668500392814,16.69855898857349,14.67389800013431,0.7065841067716409,4361.485952772345,fbgemm,9999
D_student_B_scratch,"Student MLP (64, 32)",qat_int8,0.9843594306049822,0.8902492302646292,0.9304686264621423,0.9084816166615898,-0.021691555829858156,"[0.8388337071451458, 0.909423604757548, 0.8467579089073368, 0.9962863262138212, 0.9511065362840968]",3397.0,6789.0,13.26953125,12.267578125,6947.090033434167,23.19447540200605,14.463049999903888,15.835560010600602,17.00786299217725,14.533280699906754,0.7176031585702985,68.80758864076822,14.795849994698074,15.958374996262137,16.619213998783376,14.78391566677601,0.6780684999957376,4329.029023334299,fbgemm,9999
E_student_B_KD_from_RF,"Student MLP (64, 32)",qat_int8,0.9869217081850534,0.9110289560607543,0.9417556814588902,0.9213424585927236,-0.023364432554783043,"[0.8651458273173549, 0.9395085066162571, 0.8593439363817097, 0.9973895464091542, 0.9453244762391415]",3397.0,6789.0,13.26953125,12.462890625,6838.218539413885,22.830982604607428,14.98340000398457,16.938435001065955,18.635156992822886,15.115878200173029,1.0199498678703944,66.15560053854848,15.296400000806898,16.815680009312928,18.54398099618265,15.301883999733642,0.9623952249034985,4182.491515496657,fbgemm,9999
J_student_B_CoDistill_RF_CL,"Student MLP (64, 32)",qat_int8,0.9853202846975089,0.9048230931673406,0.9330395675942681,0.9120975626640281,-0.01973259507937375,"[0.8402699662542182, 0.9421800947867298, 0.8318089430894309, 0.9974583173864829, 0.9487704918032787]",3397.0,6789.0,13.26953125,12.580078125,6774.518320136624,22.618304611085236,14.41740000154823,16.285565008729463,17.333598998375237,14.51289519990678,0.861110300910779,68.9042390388393,14.789799999562092,16.277720005746232,17.51348199293716,14.845906666305382,0.8505092223406028,4310.952603875377,fbgemm,9999
