accuracy,macro_precision,macro_recall,macro_f1,per_class_f1,params,model_size_kb,train_time_sec,route,student,seed,protocol,pipeline_macro_f1,delta_vs_pipeline,rf_calibration_time_sec
0.9853024911032029,0.8980726449638494,0.9344098862341486,0.9141724840320972,"[0.8474164133738602, 0.9403973509933775, 0.8494572911750826, 0.9968184764037, 0.9367728882144664]",1189,4.64453125,98.80391439999948,D_Small_MLP,A,42,per_route_set_seed,0.9104146892847712,0.00375779474732596,
0.986067615658363,0.9081114341939773,0.9244506251345573,0.9147550770067197,"[0.8250232270052648, 0.9548511047070125, 0.8478209097404144, 0.9979015904767508, 0.948178553104156]",1189,4.64453125,132.81012520000513,E_KD_from_RF,A,42,per_route_set_seed,0.9248593568626194,-0.01010427985589979,56.93157329999667
0.9880249110320285,0.9122335906452033,0.946833030727267,0.9267837974714391,"[0.8800482218203737, 0.9377358490566038, 0.8853564547206165, 0.9973107198241171, 0.9334677419354839]",3397,13.26953125,98.48239889999968,D_Small_MLP,B,42,per_route_set_seed,0.9269351133563724,-0.000151315884933223,
0.9876868327402135,0.9181303346030525,0.9316647353781393,0.9238223598870234,"[0.8433354390397979, 0.9539347408829175, 0.869198312236287, 0.9980978527306599, 0.9545454545454546]",3397,13.26953125,132.84346200000437,E_KD_from_RF,B,42,per_route_set_seed,0.9223664084994161,0.001455951387607346,56.93157329999667
0.9850533807829182,0.8915841182706952,0.9349416142309384,0.9102986847864714,"[0.8487394957983193, 0.9298409728718429, 0.8533653846153846, 0.99670038299126, 0.9228471876555501]",1189,4.64453125,97.09480389999953,D_Small_MLP,A,123,per_route_set_seed,0.9178459200934146,-0.007547235306943234,
0.9861387900355872,0.9085627174454413,0.922433247015929,0.914560397957875,"[0.8188727042431919, 0.9538461538461539, 0.8505371321812237, 0.9979996077662286, 0.9515463917525773]",1189,4.64453125,133.14766090000194,E_KD_from_RF,A,123,per_route_set_seed,0.9147966345689703,-0.00023623661109528626,57.73788259999856
0.9883096085409253,0.9138041585216607,0.9468886908653182,0.9288483955535494,"[0.8823163138231631, 0.9395085066162571, 0.8911309244486156, 0.997281195096336, 0.9340050377833753]",3397,13.26953125,97.73153399999865,D_Small_MLP,B,123,per_route_set_seed,0.9297686610542165,-0.0009202655006671501,
0.9880427046263345,0.9207463934624862,0.9355913078381637,0.9262188729731713,"[0.8535462081670249, 0.9539347408829175, 0.871462829736211, 0.9980979273290586, 0.9540526587506454]",3397,13.26953125,133.5592611999964,E_KD_from_RF,B,123,per_route_set_seed,0.9209664391410678,0.005252433832103498,57.73788259999856
0.9844483985765125,0.8889127006050879,0.9346860184918144,0.9093820905179453,"[0.8485766202301636, 0.9289719626168225, 0.8460994579307094, 0.9963354848851032, 0.9269269269269269]",1189,4.64453125,98.97101799999655,D_Small_MLP,A,456,per_route_set_seed,0.9121138333393837,-0.0027317428214383987,
0.986405693950178,0.9110421412902747,0.9246299575033969,0.916940041898614,"[0.82453909726637, 0.9548511047070125, 0.8548800372699744, 0.9979015904767508, 0.9525283797729618]",1189,4.64453125,132.0678637000019,E_KD_from_RF,A,456,per_route_set_seed,0.9180034447190092,-0.0010634028203951873,57.824254799998016
