model_name,architecture,variant,accuracy,macro_precision,macro_recall,macro_f1,macro_f1_delta_vs_fp32,per_class_f1,params,flops_per_sample,theoretical_fp32_size_kb,serialized_size_kb,compression_ratio_vs_rf,compression_ratio_vs_full_mlp_fp32,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1,latency_mean_ms_b1,latency_std_ms_b1,throughput_samples_per_s_b1,latency_p50_ms_b64,latency_p95_ms_b64,latency_p99_ms_b64,latency_mean_ms_b64,latency_std_ms_b64,throughput_samples_per_s_b64,qat_backend,proof_seed
A_RF_500,RandomForest 500 (max_depth=15),rf_sklearn,0.9966370106761566,0.9800002955382631,0.9790000268741561,0.979092187444176,,"[0.9907590759075907, 0.9638318670576735, 0.9835390946502057, 0.9984125428711416, 0.9589183567342694]",,,,85223.9697265625,1.0,,274.63854999950854,292.7002149990585,316.136943003512,276.84963860006246,22.599042368543607,3.6120690099386477,302.1378499979619,320.2471900025557,326.40722999989515,305.10249800039065,24.183212493405975,209.76557196171515,,9999
B_Full_MLP,MLP 128-256-128,fp32,0.9868861209964412,0.9033245907572756,0.940666751881945,0.9201564918940704,0.0,"[0.8642813078346699, 0.935969868173258, 0.8764469643278998, 0.9970843191345238, 0.927]",69893.0,137733.0,273.01953125,284.5400390625,299.5148591648391,1.0,1.2154500000178814,1.6008749938919207,3.517171005369164,1.2952297002047999,0.4037198771314429,772.0638276298647,3.547850006725639,4.087795006489614,5.631763009441784,3.623638332307261,0.4361262890629504,17661.806761838066,,9999
D_student_A_scratch,"Student MLP (32, 16)",fp32,0.9845551601423488,0.8912804573206344,0.9252995286809373,0.9069462162012393,0.0,"[0.8224240526150955, 0.935969868173258, 0.8439386901997213, 0.9970449346645853, 0.9353535353535354]",1189.0,2373.0,4.64453125,7.548828125,11289.695342820181,37.69327296248383,0.2277000021422282,0.2683249920664821,0.5018290082807653,0.2433577000920195,0.14025672111173823,4109.17755888503,0.26434999745106325,0.3097550004895311,0.5397310049738734,0.27656933360655483,0.04442770132930683,231406.71153023007,,9999
E_student_A_KD_from_RF,"Student MLP (32, 16)",fp32,0.9863701067615659,0.9102380780635917,0.927889647841728,0.9174778194854467,0.0,"[0.8326127239036443, 0.9539347408829175, 0.851922164214523, 0.9978129321420516, 0.9511065362840968]",1189.0,2373.0,4.64453125,7.578125,11246.049613402061,37.54755154639175,0.22760000138077885,0.27476999675855035,0.5090460048813839,0.2426052999944659,0.08888638812255026,4121.9214915041475,0.2628999936860055,0.32784000577521516,0.44392399708158253,0.2851259996047399,0.14241241084745426,224462.16791425875,,9999
J_student_A_CoDistill_RF_CL,"Student MLP (32, 16)",fp32,0.9877758007117438,0.9186686423434427,0.9395490432683158,0.9253557142274363,0.0,"[0.8600944510035419, 0.9502868068833652, 0.8673394043809992, 0.9979010965299437, 0.9511568123393316]",1189.0,2373.0,4.64453125,7.626953125,11174.05185659411,37.30717029449424,0.22670000907965004,0.2703150064917281,0.6014060009329103,0.24917730019660667,0.1672696498675505,4013.206657311789,0.26399999478599057,0.32606999375275336,0.5810079963703013,0.2998423336248379,0.2940097178245973,213445.51059983633,,9999
D_student_B_scratch,"Student MLP (64, 32)",fp32,0.9885053380782918,0.9124262774500689,0.9513172924024571,0.9301731724914479,0.0,"[0.8946223189306808, 0.9324577861163227, 0.8998827667057444, 0.996976063777564, 0.9269269269269269]",3397.0,6789.0,13.26953125,16.173828125,5269.251600048304,17.592621664050235,0.22760000138077885,0.2732649991230573,0.4961890084086917,0.24125979960081168,0.07921195375995049,4144.909353545843,0.7100000002537854,0.9056199909537102,1.1349179934768465,0.7360913333347222,0.14646545269632766,86945.73227762395,,9999
E_student_B_KD_from_RF,"Student MLP (64, 32)",fp32,0.9910498220640569,0.9378523595747434,0.953587264743264,0.9447068911475066,0.0,"[0.9040835707502374, 0.9539347408829175, 0.9153414405986904, 0.9980388311433614, 0.9521358723623263]",3397.0,6789.0,13.26953125,16.203125,5259.724264705882,17.56081243972999,0.2275000006193295,0.2661449900188017,0.48478200900717633,0.2388446999975713,0.06691037397668562,4186.820976183137,0.6960500031709671,0.9212900004058611,1.0735099960584193,0.7245426666243778,0.10633228183688158,88331.58204219228,,9999
J_student_B_CoDistill_RF_CL,"Student MLP (64, 32)",fp32,0.988932384341637,0.9240301860298914,0.9416600594870511,0.9318301577434018,0.0,"[0.868603916614024, 0.9530201342281879, 0.8888888888888888, 0.9979698119869361, 0.9506680369989723]",3397.0,6789.0,13.26953125,16.251953125,5243.921704122101,17.50805191683692,0.22929999977350235,0.2749649975157808,0.4740899988973976,0.24471080015064217,0.09225385067142987,4086.4563369675852,0.731250001990702,1.0073399993416388,1.2435330051812337,0.7616410004751136,0.14351879732761125,84029.08976811469,,9999
B_Full_MLP,MLP 128-256-128,dynamic_int8,0.9806227758007118,0.8598890738683636,0.9023943272640171,0.8786967030311803,-0.041459788862890146,"[0.7823303457106274, 0.9368520263901979, 0.8189925283200771, 0.9963104700225689, 0.8589981447124304]",69893.0,137733.0,273.01953125,87.1650390625,977.7311023225069,3.2643826254523454,19.439499999862164,21.448820011573844,23.31401499788626,19.607053800005815,1.0007457855674216,51.00205314883684,22.102249997260515,23.7179049916449,24.640690999658542,22.16715533329989,0.8784078714472453,2887.154397472827,,9999
D_student_A_scratch,"Student MLP (32, 16)",dynamic_int8,0.9762099644128114,0.8355036102919626,0.9022838416685449,0.8650671551023844,-0.041879061098854864,"[0.7719505008839128, 0.9203703703703704, 0.7559580552907531, 0.9946476711466183, 0.8824091778202677]",1189.0,2373.0,4.64453125,6.251953125,13631.575288972197,45.51218369259606,14.168200010317378,16.043745000933995,16.865199997700984,14.295335599555983,0.8633515200246196,69.95288729220601,14.459699996223208,16.217445000074804,17.125310999253998,14.555439666243425,0.7817501581361418,4396.981573042211,,9999
E_student_A_KD_from_RF,"Student MLP (32, 16)",dynamic_int8,0.9792348754448399,0.8770622745946179,0.8784472675290796,0.8722088088419302,-0.045269010643516516,"[0.6794625719769674, 0.9521072796934866, 0.7942505133470226, 0.9968012873346678, 0.9384223918575063]",1189.0,2373.0,4.64453125,6.298828125,13530.131007751937,45.173488372093026,14.140999999654014,16.00954001332866,17.233099005097756,14.288071499642683,0.8970234219970763,69.98845155730135,14.35440000204835,15.952144999755546,16.87308399225003,14.421906333494311,0.7770573693275141,4437.693500432915,,9999
J_student_A_CoDistill_RF_CL,"Student MLP (32, 16)",dynamic_int8,0.9823843416370107,0.8886028365789223,0.9090014108386939,0.8931008494787027,-0.032254864748733625,"[0.7867162897223018, 0.9457659372026641, 0.7897279430460209, 0.9975973561110512, 0.9456967213114754]",1189.0,2373.0,4.64453125,6.439453125,13234.659538974825,44.186988171064606,14.055549996555783,15.823935004300436,17.05419199934113,14.17208490014309,0.8711370501019411,70.56124818938274,14.482899990980513,15.58952499908628,16.78035799850477,14.496755333481511,0.8241523118850925,4414.780999454854,,9999
D_student_B_scratch,"Student MLP (64, 32)",dynamic_int8,0.9778291814946619,0.836844269547868,0.9051125825761801,0.8681230534326183,-0.06205011905882962,"[0.7723027375201288, 0.9195189639222942, 0.812199036918138, 0.9947763469843487, 0.8418181818181818]",3397.0,6789.0,13.26953125,8.564453125,9950.894526795895,33.22337514253136,14.106399998127017,15.830190003907774,17.152445002575405,14.212119100149721,0.8629681719932436,70.36248380366199,14.682549997814931,16.117895000934368,18.09516200737562,14.738344000021849,0.87764273042585,4342.414588769615,,9999
E_student_B_KD_from_RF,"Student MLP (64, 32)",dynamic_int8,0.9841103202846975,0.8991950670307594,0.9134335643302443,0.9030155821418553,-0.04169130900565132,"[0.8034699371821717, 0.9493791786055397, 0.8175976272862086, 0.9976965978259804, 0.9469345698093766]",3397.0,6789.0,13.26953125,8.611328125,9896.727716035382,33.04252665003402,13.889250003558118,15.691679996962193,16.773775012406986,13.99311310032499,0.876608014479475,71.46372596508027,14.154100004816428,15.432714999042222,16.867530996969435,14.22007099953286,0.7296162448776945,4500.680763274842,,9999
J_student_B_CoDistill_RF_CL,"Student MLP (64, 32)",dynamic_int8,0.9833629893238434,0.8917337327824792,0.9021250007792148,0.8961185820864823,-0.035711575656919514,"[0.7621640013610071, 0.9466666666666667, 0.8259507829977628, 0.9976861384002981, 0.9481253210066769]",3397.0,6789.0,13.26953125,8.751953125,9737.708658781521,32.511604552555234,13.679849995241966,15.222859999630598,16.106612997682532,13.770877599861706,0.7432469796707076,72.61701316770417,14.18365000427002,15.63551000363077,16.45171000098344,14.211170332904052,0.7467686214644433,4503.499606349564,,9999
D_student_A_scratch,"Student MLP (32, 16)",qat_int8,0.9823131672597865,0.8827058297311966,0.925013906825658,0.9002909166871877,-0.006655299514051527,"[0.8232872684504557, 0.925512104283054, 0.8064592733317502, 0.9961187371648111, 0.9500772002058672]",1189.0,2373.0,4.64453125,9.205078125,9258.364629747506,30.91120305537874,14.419599996472243,16.055445002712077,17.308010009437567,14.505874699752894,0.7967285629110116,68.93758706029874,14.625799994973931,16.386255002726102,17.369378987059463,14.741780999999415,0.8018767503598406,4341.402168435588,fbgemm,9999
E_student_A_KD_from_RF,"Student MLP (32, 16)",qat_int8,0.9812455516014235,0.8813425488151474,0.926041097966053,0.8996444871785103,-0.0178333323069364,"[0.8261120739456961, 0.9324577861163227, 0.7880794701986755, 0.9955462044419974, 0.9560269011898603]",1189.0,2373.0,4.64453125,9.400390625,9066.003012674008,30.268959069187616,14.872899999318179,16.311265001422726,17.385403001389932,14.938348300027428,0.7691253130268276,66.94180507212862,15.215699997497723,17.16474000713788,18.254558002081463,15.313642333445992,1.001787453886525,4179.280056725618,fbgemm,9999
J_student_A_CoDistill_RF_CL,"Student MLP (32, 16)",qat_int8,0.985355871886121,0.9010610782048843,0.945621705116625,0.9212121891999804,-0.004143525027455963,"[0.8797061524334252, 0.9281045751633987, 0.8523168226432322, 0.9957536320207601, 0.9501797637390857]",1189.0,2373.0,4.64453125,9.517578125,8954.375641288734,29.89626513441412,14.472449998720549,15.831174998311326,16.627921004401287,14.532072799716843,0.7520951688449156,68.81330790054155,14.625050003814977,16.03668500392814,16.69855898857349,14.67389800013431,0.7065841067716409,4361.485952772345,fbgemm,9999
D_student_B_scratch,"Student MLP (64, 32)",qat_int8,0.9843594306049822,0.8902492302646292,0.9304686264621423,0.9084816166615898,-0.021691555829858156,"[0.8388337071451458, 0.909423604757548, 0.8467579089073368, 0.9962863262138212, 0.9511065362840968]",3397.0,6789.0,13.26953125,12.267578125,6947.090033434167,23.19447540200605,14.463049999903888,15.835560010600602,17.00786299217725,14.533280699906754,0.7176031585702985,68.80758864076822,14.795849994698074,15.958374996262137,16.619213998783376,14.78391566677601,0.6780684999957376,4329.029023334299,fbgemm,9999
