model_name,runtime,variant,status,skip_reason,accuracy,macro_precision,macro_recall,macro_f1,serialized_size_kb,artifact_path,latency_mean_ms_b1,latency_std_ms_b1,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1,throughput_samples_per_s_b1,latency_mean_ms_b64,latency_std_ms_b64,latency_p50_ms_b64,latency_p95_ms_b64,latency_p99_ms_b64,throughput_samples_per_s_b64,openvino_prediction_agreement_vs_onnx,openvino_macro_f1_delta_vs_onnx
D_student_A_scratch,onnxruntime,onnx_fp32,ok,,0.9845551601423488,0.8912804573206344,0.9252995286809373,0.9069462162012393,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\D_student_A_scratch.onnx,0.028201499808346853,0.010296142727101247,0.026699999580159783,0.03360999398864805,0.05681099602952599,35459.10702607484,0.03665999975055456,0.006081748483728629,0.03589998232200742,0.03852500231005252,0.06211900705238803,1745771.9704166627,,
D_student_A_scratch,onnxruntime,onnx_dynamic_int8,ok,,0.9811743772241993,0.8704819874700993,0.9183117056386679,0.891390645521625,5.0693359375,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\D_student_A_scratch_dynamic_int8.onnx,0.17727450019447133,2.4048408438808204,0.039300008211284876,0.051274982979521086,0.10901998612098394,5640.969225145146,0.8330706666068485,4.954838871666561,0.050000002374872565,0.16892499988898654,15.943007984314956,76824.21499808198,,
D_student_A_scratch,openvino,openvino_fp32_from_onnx,ok,,0.9845551601423488,0.8912804573206344,0.9252995286809373,0.9069462162012393,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\D_student_A_scratch.onnx,0.1525398998928722,0.08434256328744436,0.12889999197795987,0.27999000594718376,0.5492199910804629,6555.66183472189,0.21423000105035803,0.16006157997556944,0.1701500004855916,0.4267499825800772,0.8884109838982113,298744.3387303902,1.0,0.0
E_student_A_KD_from_RF,onnxruntime,onnx_fp32,ok,,0.9863701067615659,0.9102380780635917,0.927889647841728,0.9174778194854467,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\E_student_A_KD_from_RF.onnx,0.2817682001623325,3.041822905709476,0.02750000567175448,0.06890000076964498,9.45681200915714,3549.0165299841474,0.03581333391290779,0.0035527205853535014,0.035200006095692515,0.03641001530922949,0.06070099654607475,1787043.9025765546,,
E_student_A_KD_from_RF,onnxruntime,onnx_dynamic_int8,ok,,0.9836654804270463,0.8940241503044284,0.9087365745526919,0.9006015821374727,5.0693359375,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\E_student_A_KD_from_RF_dynamic_int8.onnx,0.5859277997224126,5.00947041142427,0.03950000973418355,0.10131998569704591,14.680732002889268,1706.6949212407349,0.8024506666697562,5.080705676394024,0.049700000090524554,0.15877001278568068,30.894842986308497,79755.6817612301,,
E_student_A_KD_from_RF,openvino,openvino_fp32_from_onnx,ok,,0.9863701067615659,0.9102380780635917,0.927889647841728,0.9174778194854467,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\E_student_A_KD_from_RF.onnx,0.1733296999882441,0.13255167446727878,0.13070000568404794,0.42919497645925686,0.738648006808944,5769.351704109705,0.1882886675108845,0.10139551673197195,0.16769999638199806,0.3125400151475335,0.6800750148249776,339903.62163617904,1.0,0.0
J_student_A_CoDistill_RF_CL,onnxruntime,onnx_fp32,ok,,0.9877758007117438,0.9186686423434427,0.9395490432683158,0.9253557142274363,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\J_student_A_CoDistill_RF_CL.onnx,0.5405709002807271,4.511176807992046,0.027900008717551827,0.08496500668115908,11.57315598306011,1849.8960996248302,0.0368100007957158,0.0035715962993751486,0.03610001294873655,0.03712002071551979,0.056744024041108745,1738657.9357925132,,
J_student_A_CoDistill_RF_CL,onnxruntime,onnx_dynamic_int8,ok,,0.983238434163701,0.896725580609562,0.9172458739619742,0.8993300318147682,5.0693359375,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\J_student_A_CoDistill_RF_CL_dynamic_int8.onnx,0.16846190000069328,2.21460662677063,0.03949998063035309,0.06015499238856132,0.14011299004778266,5936.060319846118,0.05121766715698565,0.006173987958864483,0.050000002374872565,0.05720999906770885,0.08120900718495248,1249568.8217082522,,
J_student_A_CoDistill_RF_CL,openvino,openvino_fp32_from_onnx,ok,,0.9877758007117438,0.9186686423434427,0.9395490432683158,0.9253557142274363,5.4423828125,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\J_student_A_CoDistill_RF_CL.onnx,0.1757118001987692,0.12700483692463596,0.1317999849561602,0.4456500158994458,0.733143023098819,5691.137412904411,0.24238633350857222,0.17925305127935787,0.1838000025600195,0.6493850232800469,1.0077779844868922,264041.2892657439,1.0,0.0
D_student_B_scratch,onnxruntime,onnx_fp32,ok,,0.9885053380782918,0.9124262774500689,0.9513172924024571,0.9301731724914479,14.0693359375,C:\Users\btpUser\Desktop\Nishant_2023IMG_wct\CuKD-XAI\Final\wsnds_deployment_qat_outputs\runtime_from_existing_outputs\deployable_runtime_results\D_student_B_scratch.onnx,0.04836299977614544,0.41658552757236034,0.02889998722821474,0.030810001771897067,0.06543500319821757,20676.963890342464,0.6315783340445099,5.11790464512606,0.04980000085197389,0.12765501160174608,21.06240199762396,101333.43173784309,,
