seed,teacher_macro_f1,student_A_scratch_macro_f1,student_A_rf_kd_macro_f1,student_B_scratch_macro_f1,student_B_rf_kd_macro_f1,student_A_rf_kd_minus_scratch_macro_f1,student_B_rf_kd_minus_scratch_macro_f1
42,0.9789215588747504,0.9102878179701264,0.9146237916726868,0.9292986132349995,0.9214806336793947,0.004335973702560447,-0.007817979555604815
123,0.9795146517250227,0.9127184098496748,0.9125468419852776,0.9240639331723861,0.9356459288940758,-0.00017156786439720406,0.01158199572168972
456,0.9803108415005791,0.9136135634364952,0.9096287225595748,0.9370623905452931,0.9428272336495134,-0.003984840876920415,0.0057648431042203185
789,0.9791988340176052,0.9140663271131281,0.9035214827826703,0.9292374140319193,0.9189570630322852,-0.01054484433045777,-0.010280350999634091
1001,0.9800853246421936,0.9205760057747921,0.9175728594370385,0.9316696247314893,0.9374181876888121,-0.0030031463377536705,0.005748562957322845
2024,0.9799489997230738,0.9163903428461037,0.9148331800245334,0.9390274759942322,0.9399476866214039,-0.001557162821570257,0.0009202106271717359
3141,0.979140705856862,0.9104557097556591,0.9190117229227657,0.9330696243887051,0.9506206918395854,0.008556013167106524,0.01755106745088031
5678,0.9790413901482008,0.9269548719283918,0.9170863406862425,0.9288549641822318,0.9253725865130029,-0.009868531242149259,-0.0034823776692288755
8192,0.9797137461527619,0.9071707940474392,0.9162882264816444,0.9437596634332802,0.9305203292267302,0.009117432434205264,-0.01323933420654999
9999,0.979123716817563,0.9156884336570936,0.9126938682901218,0.9326280135738958,0.9186284143799993,-0.0029945653669718464,-0.013999599193896484
