Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9965907473309608,5.638071002761209e-05,0.9788502941560825,0.00025334552981758535,10,0.9903957236265057,0.0003113204604360566,0.9632084466225692,0.0007753861379996011,0.9832391666967846,0.0006148460982512057,0.9983899937124863,3.252235049724506e-05,0.9590181401220669,0.0001995667755950503,,85064.5361328125
B_Full_MLP,0.9872633451957296,0.00029984186339684427,0.9226887762531352,0.0019032850711911539,10,0.8672306992018963,0.005671875177800295,0.9383622154558102,0.002506842385472483,0.8772657449747779,0.0044645408832462005,0.9972152442290451,7.776563608192017e-05,0.9333699774041457,0.0030443443890865694,69893.0,273.01953125
C2_CL_MLP_domain,0.9856548042704627,0.000708748144313417,0.9131371118601589,0.004307569280272848,10,0.8425479405398836,0.00956461770837367,0.9364251314783821,0.0036783191661944304,0.8557025731807391,0.011031412668640262,0.9971443729220324,3.9733584141621284e-05,0.9338655411797572,0.0011583970875353377,69893.0,273.01953125
C_CL_MLP_loss,0.9857259786476869,0.0006298932384341437,0.9135861700874944,0.0036573492194790095,10,0.8445725592575479,0.009525062385993795,0.9366087541879942,0.004484566737986452,0.8558451708410644,0.00964297142362639,0.9971551998336606,5.96907246678985e-05,0.9337491663172053,0.0023043473193252004,69893.0,273.01953125
C_CL_MLP_loss_ext,0.9785907473309609,0.023940383904284608,0.8674204900984448,0.15338434001821324,10,0.7702994816450504,0.2570651107626539,0.9223919752204619,0.04561976026680704,0.7795825971424906,0.2601824032838573,0.9960697254158462,0.003490419274387473,0.8687586710683748,0.2009152059775919,69893.0,273.01953125
C_CL_MLP_loss_fair,0.9857259786476869,0.0006298932384341437,0.9135861700874944,0.0036573492194790095,10,0.8445725592575479,0.009525062385993795,0.9366087541879942,0.004484566737986452,0.8558451708410644,0.00964297142362639,0.9971551998336606,5.96907246678985e-05,0.9337491663172053,0.0023043473193252004,69893.0,273.01953125
D_Small_MLP,0.9843647686832739,0.00236614731843965,0.910902993186332,0.006492281884493595,10,0.8471666944766769,0.009424520101902126,0.9355546372749215,0.0048732192717887,0.844835528550109,0.026497712759932866,0.9962484405622648,0.0011763789185520346,0.9307096650676883,0.002971599771050113,1189.0,4.64453125
E2_KD_from_MLP,0.9853914590747331,0.00034309815064856156,0.9120394941841938,0.0022155804036881792,10,0.8360044179291725,0.0071241584440809745,0.9448754862841943,0.002849717586980963,0.8524867798634084,0.004696671664399845,0.9971838060121005,7.465629904770874e-05,0.9296469808320943,0.004464122100756956,1189.0,4.64453125
E_KD_from_RF,0.9869430604982206,0.0010114151976902317,0.9203444861873752,0.006178854512943907,10,0.8370072850696519,0.017113758910692365,0.9545673368561077,0.000434065619104857,0.8603681451342478,0.013551283181143087,0.9978918237677019,6.584733871774451e-05,0.9518878401091669,0.0024162821445492004,1189.0,4.64453125
F_KD_from_CL_MLP,0.9850658362989325,0.000393479902031253,0.9104895552870976,0.002944324642044356,10,0.8331599789560169,0.007162196137754491,0.9446170475317339,0.005380180920715109,0.8469502253826784,0.004247475148217399,0.9971434133449477,6.502184333915964e-05,0.9305771112201111,0.003060568776539121,1189.0,4.64453125
F_KD_from_CL_MLP_ext,0.9811743772241993,0.012052706215028484,0.8936578199261115,0.05257703336123518,10,0.8213237880330633,0.04531526813217953,0.9440185178570648,0.006762416233259545,0.8300457396885402,0.05065256436770044,0.9960617449956214,0.0033976499793934244,0.8768393090562675,0.15952038916633057,1189.0,4.64453125
F_KD_from_CL_MLP_fair,0.9850658362989325,0.000393479902031253,0.9104895552870976,0.002944324642044356,10,0.8331599789560169,0.007162196137754491,0.9446170475317339,0.005380180920715109,0.8469502253826784,0.004247475148217399,0.9971434133449477,6.502184333915964e-05,0.9305771112201111,0.003060568776539121,1189.0,4.64453125
G_KD_random_pacing,0.9851814946619216,0.0005728763679775617,0.910808556743555,0.0035614182491422275,10,0.8315815659796921,0.008041585404719725,0.9457949066143632,0.005221682824809075,0.8493702824338261,0.007722799319577015,0.9972015135250348,0.00010882724144269762,0.9300945151648582,0.0038662131563550447,1189.0,4.64453125
I_KD_from_SMOTE_MLP,0.9847081850533808,0.0007643047830516486,0.9084987350325013,0.004708138214137702,10,0.8248233804264304,0.008477416162641993,0.951274517458289,0.0025334199477848275,0.8467296369286498,0.008561468216835821,0.9970961715043876,0.00018764804100069487,0.9225699688447498,0.009551566142798274,1189.0,4.64453125
J_CoDistill_RF_CL,0.9861423487544485,0.0004036283808899095,0.9157686329560379,0.0025886478409190726,10,0.8303233776889751,0.0066859773692339655,0.9530125440612721,0.0014375717701627633,0.8518380141459521,0.005986224625385149,0.997759556642996,4.4881998196758784e-05,0.9459096722409939,0.0021869268938398815,1189.0,4.64453125
