student_name,Config,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,ece_mean,train_time_sec_mean,per_class_f1_mean,per_class_f1_std,class_names,params,size_kb,flops_per_sample
student_A_32_16,A_RF_500,5,0.9825126696927731,0.00026674102079579876,0.8891925408630854,0.0010873508736754846,0.9409266976727491,0.8712359453303369,0.023667649794021174,135.78952689170836,"[0.9846153846153847, 0.7879046851833476, 0.9998854721410984, 1.0, 1.0, 0.937062937062937, 0.4377682403433477, 1.0, 0.8268087040265145, 0.9202120429522903, 0.9395017793594306, 0.8569004361788226, 0.9019667261343882, 0.9734720400299206, 0.7717896649188001]","[0.0, 0.004851290711655757, 0.0, 0.0, 0.0, 1.2412670766236366e-16, 6.206335383118183e-17, 0.0, 0.0049446898664682075, 0.0, 0.0, 0.006823898358712962, 0.0023275682315389086, 0.0006203799539804402, 0.007448148966872301]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,101114.94140625,
student_B_64_32,A_RF_500,5,0.9825126696927731,0.00026674102079579876,0.8891925408630854,0.0010873508736754846,0.9409266976727491,0.8712359453303369,0.023667649794021174,135.78952689170836,"[0.9846153846153847, 0.7879046851833476, 0.9998854721410984, 1.0, 1.0, 0.937062937062937, 0.4377682403433477, 1.0, 0.8268087040265145, 0.9202120429522903, 0.9395017793594306, 0.8569004361788226, 0.9019667261343882, 0.9734720400299206, 0.7717896649188001]","[0.0, 0.004851290711655757, 0.0, 0.0, 0.0, 1.2412670766236366e-16, 6.206335383118183e-17, 0.0, 0.0049446898664682075, 0.0, 0.0, 0.006823898358712962, 0.0023275682315389086, 0.0006203799539804402, 0.007448148966872301]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,101114.94140625,
student_C_128_64,A_RF_500,5,0.9825126696927731,0.00026674102079579876,0.8891925408630854,0.0010873508736754846,0.9409266976727491,0.8712359453303369,0.023667649794021174,135.78952689170836,"[0.9846153846153847, 0.7879046851833476, 0.9998854721410984, 1.0, 1.0, 0.937062937062937, 0.4377682403433477, 1.0, 0.8268087040265145, 0.9202120429522903, 0.9395017793594306, 0.8569004361788226, 0.9019667261343882, 0.9734720400299206, 0.7717896649188001]","[0.0, 0.004851290711655757, 0.0, 0.0, 0.0, 1.2412670766236366e-16, 6.206335383118183e-17, 0.0, 0.0049446898664682075, 0.0, 0.0, 0.006823898358712962, 0.0023275682315389086, 0.0006203799539804402, 0.007448148966872301]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,101114.94140625,
student_A_32_16,A_LightGBM,5,0.9866991507475644,9.793473791284148e-05,0.8861155140791089,0.0003303789250199335,0.869965230373986,0.941143771218284,0.0021399248116041854,392.28227934837344,"[0.9846153846153847, 0.855699834326545, 0.9998740177155824, 1.0, 1.0, 0.5922460645102754, 0.46846846846846846, 1.0, 0.8851886047699894, 0.9574660633484162, 0.9395017793594306, 0.8916189229899869, 0.9208446488357691, 0.981083188842349, 0.8151257334044384]","[0.0, 0.001542438633088953, 1.5684618095878856e-05, 0.0, 0.0, 0.0006907719955833343, 0.0, 0.0, 0.000964474158596244, 1.2412670766236366e-16, 0.0, 0.001905039885637751, 0.0012133532435440284, 0.0004818706988145598, 0.0015924077157073115]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,15224.0546875,
student_B_64_32,A_LightGBM,5,0.9866991507475644,9.793473791284148e-05,0.8861155140791089,0.0003303789250199335,0.869965230373986,0.941143771218284,0.0021399248116041854,392.28227934837344,"[0.9846153846153847, 0.855699834326545, 0.9998740177155824, 1.0, 1.0, 0.5922460645102754, 0.46846846846846846, 1.0, 0.8851886047699894, 0.9574660633484162, 0.9395017793594306, 0.8916189229899869, 0.9208446488357691, 0.981083188842349, 0.8151257334044384]","[0.0, 0.001542438633088953, 1.5684618095878856e-05, 0.0, 0.0, 0.0006907719955833343, 0.0, 0.0, 0.000964474158596244, 1.2412670766236366e-16, 0.0, 0.001905039885637751, 0.0012133532435440284, 0.0004818706988145598, 0.0015924077157073115]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,15224.0546875,
student_C_128_64,A_LightGBM,5,0.9866991507475644,9.793473791284148e-05,0.8861155140791089,0.0003303789250199335,0.869965230373986,0.941143771218284,0.0021399248116041854,392.28227934837344,"[0.9846153846153847, 0.855699834326545, 0.9998740177155824, 1.0, 1.0, 0.5922460645102754, 0.46846846846846846, 1.0, 0.8851886047699894, 0.9574660633484162, 0.9395017793594306, 0.8916189229899869, 0.9208446488357691, 0.981083188842349, 0.8151257334044384]","[0.0, 0.001542438633088953, 1.5684618095878856e-05, 0.0, 0.0, 0.0006907719955833343, 0.0, 0.0, 0.000964474158596244, 1.2412670766236366e-16, 0.0, 0.001905039885637751, 0.0012133532435440284, 0.0004818706988145598, 0.0015924077157073115]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",,15224.0546875,
student_C_128_64,E_KD_from_RF,5,0.9685094673471901,0.00016603604639370113,0.8243815352955652,0.0009060907283849922,0.8167518431111551,0.8776479724496582,0.0033369398955302512,4147.802791833878,"[0.9844009517544791, 0.7219096363060055, 0.9976359332008453, 0.9691432840519557, 1.0, 0.7287395180615813, 0.4667864783910997, 1.0, 0.601707616852043, 0.9025881130059812, 0.9389550472059064, 0.800189698542493, 0.7412703413643768, 0.9379905017267356, 0.5744059089699747]","[7.339358146921678e-05, 0.0026900321901293526, 0.00018675075859765083, 0.0011847491901380938, 0.0, 0.011656909031099134, 0.00026790716033372233, 0.0, 0.00570721206639812, 0.002190865056618843, 0.00025398373476410877, 0.0012385240909032547, 0.0023788230990381687, 0.004817540618112588, 0.002028468194040541]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",15631.0,61.05859375,31247.0
student_C_128_64,E3_KD_from_LightGBM,5,0.9684571964155358,0.0006691778552015095,0.8241919279167009,0.0031314952267918147,0.8162990657000883,0.8792347300152356,0.0045763868659614935,3708.8219051361084,"[0.9843205677029425, 0.7206995225897075, 0.997641154724405, 0.9675258485838855, 0.999961604914571, 0.73623476422732, 0.46560835501228787, 1.0, 0.596477971704561, 0.8987692377580233, 0.9370813578130364, 0.7992885844076283, 0.7396611088817557, 0.9404686239286442, 0.5791402165017434]","[0.0001120931110595526, 0.002590793278611217, 0.00014295906311794735, 0.0027404452448485557, 8.585402102130326e-05, 0.009437760690087936, 0.003050963494639474, 0.0, 0.011933915889307853, 0.006697508915804227, 0.0030856825421709966, 0.003125846298582633, 0.004408402964585441, 0.0028899858910374616, 0.00583618056965945]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",15631.0,61.05859375,31247.0
student_C_128_64,D_Small_MLP,5,0.9686806997095058,5.900544692825757e-05,0.8239161887529102,0.0003341931671572167,0.816736672607869,0.8827509429778093,0.0031780721929219762,3110.039528179169,"[0.9846153846153847, 0.7210997946927565, 0.9972786036961836, 0.9688634435195776, 1.0, 0.7112853127118054, 0.4667864783910997, 1.0, 0.5982049510875252, 0.9021855614219854, 0.9389840877506987, 0.802501862148927, 0.7453100337732371, 0.9425306013665985, 0.5790967161178717]","[0.0, 0.0008764228302892101, 0.0001176179936303671, 0.0009314392842311029, 0.0, 0.007044830188926141, 0.00026790716033372233, 0.0, 0.0018181757037246222, 0.0016360021079863004, 0.0001978652332713112, 0.0005751266405602046, 0.0014772082851950646, 0.0010963052550865353, 0.0028103912049203864]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",15631.0,61.05859375,31247.0
student_B_64_32,E3_KD_from_LightGBM,5,0.9679741409092137,0.0001903432768220151,0.8219653538544455,0.000995622501998894,0.8125943244212221,0.8776508986348455,0.004344470183510339,4055.3204407691956,"[0.9836227314042609, 0.7144911979576174, 0.9975317819727911, 0.9683232990983683, 0.9999506406056714, 0.7292860532135974, 0.4653563857810089, 1.0, 0.5871162282490356, 0.9010277195092382, 0.9362061623947462, 0.7981659933227865, 0.7370672641681111, 0.9368713285937712, 0.5744635215456766]","[0.00033413851432323243, 0.0027135392014403723, 0.0003051095218096939, 0.0006273568854494314, 4.067469411676845e-05, 0.021894687410982147, 0.0011469491103568191, 0.0, 0.0053202187381803335, 0.0011374919835181662, 0.0006238124985619306, 0.003321862614879745, 0.0027433703935977366, 0.0015895704181572848, 0.003034112685497701]","[""Backdoor"", ""DDoS_HTTP"", ""DDoS_ICMP"", ""DDoS_TCP"", ""DDoS_UDP"", ""Fingerprinting"", ""MITM"", ""Normal"", ""Password"", ""Port_Scanning"", ""Ransomware"", ""SQL_injection"", ""Uploading"", ""Vulnerability_scanner"", ""XSS""]",5775.0,22.55859375,11535.0
