seed,student,route,weighting,class_index,class_name,support_rows,exact_group_count,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate
42,student_A,rf_kd,exact_group_balanced,0,Blackhole,1590,1015,0.14571090518568647,0.040915470385360996,0.34773098205888364,0.8975369458128079,0.7541871921182266,0.24394383134876213,0.09458128078817735,0.007881773399014778
42,student_A,rf_kd,exact_group_balanced,1,Flooding,495,474,0.04744199278948417,0.011496582791824953,0.1913541803689559,0.9978902953586498,0.9947257383966245,0.07749231993023027,0.0,0.002109704641350211
42,student_A,rf_kd,exact_group_balanced,2,Grayhole,2149,1890,0.18662236792636386,0.055157159918123845,0.34581094202807483,0.8201058201058201,0.8267195767195767,0.2301809769578758,0.17037037037037037,0.009523809523809525
42,student_A,rf_kd,exact_group_balanced,3,Normal,51070,49807,0.006018386043428926,0.0014667263730837132,0.04156491325306838,0.9980725600819162,0.9774730459573956,0.0034846209433287024,0.0015861224325897966,0.00034131748549400687
42,student_A,rf_kd,exact_group_balanced,4,TDMA,997,988,0.01985025305096994,0.00477264622728181,0.08216476211362203,0.9979757085020243,0.9519230769230769,0.004418843633399398,0.0,0.0020242914979757085
42,student_A,rf_kd,row_weighted,0,Blackhole,1590,1015,0.21639914497602694,0.0619585018137921,0.47151758294216545,0.8974842767295598,0.6814465408805032,0.3419225070216443,0.09748427672955975,0.005031446540880503
42,student_A,rf_kd,row_weighted,1,Flooding,495,474,0.04664110722202017,0.011318197731509046,0.1894936682972288,0.997979797979798,0.9949494949494949,0.07477195794378065,0.0,0.00202020202020202
42,student_A,rf_kd,row_weighted,2,Grayhole,2149,1890,0.21360945872676082,0.06340624772812051,0.3849514792903099,0.8022335970218707,0.8043275942298743,0.2617223159249593,0.18939041414611446,0.00837598883201489
42,student_A,rf_kd,row_weighted,3,Normal,51070,49807,0.005971969383870152,0.0014550121440449438,0.04135834613063794,0.9980614842373213,0.9778441355002937,0.0034478574555767,0.0016056393185823379,0.00033287644409633833
42,student_A,rf_kd,row_weighted,4,TDMA,997,988,0.019962177038054595,0.004814811251911456,0.08224871699222694,0.9979939819458375,0.9493480441323972,0.004379780117308891,0.0,0.0020060180541624875
