model,board,clock_mhz,macs,mean_inference_us,mean_total_us,inference_cycles,cycles_per_mac,total_throughput_per_s
Student A RF-KD,ESP32-C3 DevKitM-1,160.0,1136,112.31238434163701,118.403256227758,17969.981494661923,15.818645681920707,8445.713672573507
Student A RF-KD,Arduino R4 WiFi,48.0,1136,280.36225978647684,301.6335053380783,13457.388469750887,11.846292667034232,3315.28156621452
Student B RF-KD,ESP32-C3 DevKitM-1,160.0,3296,325.07896797153023,332.32699288256225,52012.63487544484,15.78053242580244,3009.0844903272123
Student B RF-KD,Arduino R4 WiFi,48.0,3296,770.6794306049823,791.5659964412812,36992.61266903915,11.223486853470614,1263.3185413418407
