student,protocol,rf_kd_macro_f1_mean,rf_kd_macro_f1_std,scratch_macro_f1_mean,scratch_macro_f1_std,kd_minus_scratch_mean_of_means,paired_t_p,paired_wilcoxon_p,n_seeds,pairing_note,kd_minus_scratch_mean_paired,kd_minus_scratch_std_paired,paired_t_stat,n_test_rows,fg_per_seed_rf_kd,fg_per_seed_scratch
A,archived_presplit_scaler_random_row_10seed,0.9199713533197722,0.0031241763505348,0.9123026008546002,0.0062229610520569,0.007668752465171957,,,10,archived package stores aggregates only; delta is mean-of-means not seed-paired,,,,,,
A,train_only_scaler_random_row_10seed,0.9203444861873752,0.00651308453057103,0.910902993186332,0.006843465988949987,,0.04793535258814285,0.048828125,10,seed-paired from checkpoints,0.009441493001043211,0.013049524450539111,2.2879471592239975,,,
A,train_only_scaler_feature_group_disjoint_5seed,0.9141123712209677,0.006865452782879801,0.9138782328643348,0.004570325234869203,,0.9458279016214112,1.0,5,seed-paired; mean matches aggregate_results.json,0.0002341383566328181,0.0072405324297175905,0.07230811914083099,56301.0,"[0.9160761302322431, 0.9210575900826801, 0.9101979257019259, 0.9042445625698784, 0.918985647518111]","[0.9105228181079894, 0.9122100616291939, 0.9110647225766497, 0.9138671494455132, 0.9217264125623281]"
B,archived_presplit_scaler_random_row_10seed,0.9328081908495188,0.0075896541033712,0.9321689869057276,0.0037504644019022,0.0006392039437912445,,,10,archived package stores aggregates only; delta is mean-of-means not seed-paired,,,,,,
B,train_only_scaler_random_row_10seed,0.939173439381416,0.012914669541672667,0.9313411490547345,0.006575106681835642,,0.0968914374617558,0.193359375,10,seed-paired from checkpoints,0.007832290326681457,0.01336656049939388,1.8529730762929468,,,
B,train_only_scaler_feature_group_disjoint_5seed,0.9281445120907325,0.007413563994772633,0.9297947685192381,0.005499829033431612,,0.7347612930434297,0.8125,5,seed-paired; mean matches aggregate_results.json,-0.001650256428505714,0.010156916086706849,-0.3633076736032409,56301.0,"[0.9223807931422797, 0.9343098023532473, 0.9228321712991224, 0.9232400846320541, 0.9379597090269585]","[0.925108820154686, 0.9238999192107356, 0.9375211566279967, 0.9307149146483843, 0.931729031954388]"
