board,completed_vectors,mcu_vs_fixed_reference_agreement,mcu_vs_fp32_agreement,accuracy,macro_f1,weighted_f1
pi5_esp32c3_student_a,56200,1.0,0.995,0.9856227758007118,0.9140138730454984,0.98573203786054
pi5_arduino_r4_student_a,56200,1.0,0.995,0.9856227758007118,0.9140138730454984,0.98573203786054
pi5_esp32c3_student_b,56200,1.0,0.9938967971530249,0.9869572953736655,0.9180992145299044,0.9869459425951487
pi5_arduino_r4_student_b,56200,1.0,0.9938967971530249,0.9869572953736655,0.9180992145299044,0.9869459425951487
