Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9966263345195729,4.853445443769083e-05,0.9791164629234865,0.0002863431069860143,5,0.9902297151775944,0.0002646924831139878,0.9645220238368871,0.0010073658677896386,0.9833979543534038,0.0005188529279933661,0.9984144811274799,2.4308997640108892e-05,0.9590181401220669,0.0001995667755950503,,85064.5693359375
B_Full_MLP,0.9869572953736656,0.0006249580475022217,0.9210752831758396,0.003698448851622956,5,0.8630585635562475,0.009743168910722832,0.938633072570725,0.003320417138754264,0.8736475720895658,0.008844684754367844,0.9971729190957251,6.163246780455053e-05,0.9328642885669349,0.0009901267211178922,69893.0,273.01953125
C2_CL_MLP_domain,0.9738434163701066,0.0011121779331873599,0.8618159387438915,0.0025421994982555273,5,0.7795509748788142,0.00163800638340871,0.9291499785362101,0.00200721905187296,0.6866067223002127,0.01145340373940825,0.9938720121195708,0.0006064768354305807,0.9199000058846488,0.004131577527948983,69893.0,273.01953125
C_CL_MLP_loss,0.9725907473309607,0.001076099153036475,0.8606843773228279,0.002541119832566848,5,0.7809007290520258,0.001637591575165916,0.9300160777259736,0.001015163468782859,0.6737625258117153,0.011223415894866827,0.9930984124520087,0.0005780061701439022,0.9256441415724167,0.005275371419558031,69893.0,273.01953125
D_Small_MLP,0.9850035587188612,0.00139597069640833,0.9129861568585609,0.004280059853977803,5,0.8544297632085158,0.011753994427659694,0.935971196914384,0.001115590911785276,0.8484348362780944,0.018388299082816476,0.9965203079814478,0.0007687895442294992,0.9295746799103626,0.005110897451285412,1189.0,4.64453125
E2_KD_from_MLP,0.9852491103202847,0.0004361427387858303,0.9113565082906975,0.0031082443667181155,5,0.8354830309174819,0.00989606778899188,0.945059377149892,0.003478177228591081,0.8505562618333119,0.006015999123377463,0.9971512863559185,0.00011024619142346223,0.9285325851968829,0.0032991426148633657,1189.0,4.64453125
E_KD_from_RF,0.9871494661921709,0.0022313592939800296,0.9218613360667067,0.013703772030793121,5,0.8422031406411546,0.03759800954996681,0.9546678319421936,0.000366545529637996,0.8593760001055454,0.032839087874448954,0.9979391240659912,0.00020669426184975482,0.955120583578649,0.0017914012692851645,1189.0,4.64453125
F_KD_from_CL_MLP,0.977761565836299,0.0013302850968782037,0.8908004097883084,0.003408593980639362,5,0.8259360944011608,0.003414233777454553,0.9361522852902511,0.0023946499066373386,0.7735340841651914,0.0171649382711501,0.9933285637567499,0.0006280180768186992,0.9250510213281885,0.005867311081519121,1189.0,4.64453125
G_KD_random_pacing,0.985135231316726,0.00036925030935680477,0.9119891951151804,0.002568459157834988,5,0.8403124766753212,0.005754179444473102,0.9452491168660444,0.004644360189973305,0.8485301460560454,0.004592154257796194,0.9969759956186369,9.384611721808254e-05,0.9288782403598546,0.00356132706510988,1189.0,4.64453125
I_KD_from_SMOTE_MLP,0.9848505338078292,0.0010713221543588096,0.909112807204569,0.0058040145736070435,5,0.823043077282502,0.008841605112282604,0.9506422205396465,0.0031097588476305684,0.8490848340628918,0.009947247800816966,0.9971433408987511,0.0003414579431864271,0.9256505632390534,0.009400461027501682,1189.0,4.64453125
