model_name,runtime,variant,status,accuracy,macro_f1,prediction_agreement_vs_pytorch_fp32,prediction_agreement_vs_onnx_runtime,serialized_size_kb,artifact_path,latency_mean_ms_b1,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1
E_student_A_KD_from_RF_train_only,openvino,openvino_fp32_from_onnx,ok,0.991423487544484,0.9485087159320515,1.0,1.0,5.4423828125,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_A_KD_from_RF_train_only.onnx,0.11919566666013755,0.1098000002457411,0.17191500101034762,0.23141899941037988
E_student_B_KD_from_RF_train_only,openvino,openvino_fp32_from_onnx,ok,0.9911209964412812,0.9449299339062804,1.0,1.0,14.0693359375,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_B_KD_from_RF_train_only.onnx,0.12569933341486225,0.11375000030966476,0.16570999932810082,0.2281559989751257
