model_name,runtime,variant,status,skip_reason,accuracy,macro_f1,serialized_size_kb,artifact_path,artifact_sha256,latency_mean_ms_b1,latency_std_ms_b1,latency_p50_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1,throughput_samples_per_s_b1,prediction_agreement_vs_pytorch_fp32,macro_f1_delta_vs_pytorch_fp32
E_student_A_KD_from_RF_train_only,onnxruntime,onnx_fp32,ok,,0.991423487544484,0.9485087159320515,5.4423828125,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_A_KD_from_RF_train_only.onnx,7d52727791fd55b6e52459fc15042b57940da27b7f9d038b75254c5c399b5200,0.028226000003996887,0.0037593915146034414,0.027049999516748358,0.03531999964252463,0.04221700117341241,35428.32848644501,1.0,0.0
E_student_A_KD_from_RF_train_only,onnxruntime,onnx_dynamic_int8,ok,,0.9822064056939501,0.893789697354604,5.0693359375,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_A_KD_from_RF_train_only_dynamic_int8.onnx,05602f21ed754d968cb5308eafcdca7e27964aeade46b9e1ebf82dd3848507af,0.03848299995297566,0.004401308019805736,0.036899999031447805,0.04933500067636486,0.0575060012670292,25985.50012270226,0.9861032028469751,-0.05471901857744754
E_student_B_KD_from_RF_train_only,onnxruntime,onnx_fp32,ok,,0.9911209964412812,0.9449299339062804,14.0693359375,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_B_KD_from_RF_train_only.onnx,e4f99aad9a7c5634c390153464dbac690cc29c48370d7ac53307c78a063c6c51,0.02561099996455596,0.008656822671093327,0.021400001060101204,0.04219999946144526,0.055169001170725034,39045.72259513249,1.0,0.0
E_student_B_KD_from_RF_train_only,onnxruntime,onnx_dynamic_int8,ok,,0.9845551601423488,0.906592462083893,7.3701171875,C:\N Drive\Research\Cukd-XAI\CuKD-XAI\results\runtime\onnx_openvino\wsnds\train_only_seed42_copy\deployable_runtime_artifacts\E_student_B_KD_from_RF_train_only_dynamic_int8.onnx,dd7c860751d4eadbbff0da5e78e2d1502b7e318be95cf18564a478c2e9bb15c1,0.0390345000414527,0.00353088653316946,0.0380000001314329,0.04770500117956544,0.05280700004732352,25618.363215566987,0.9897508896797153,-0.03833747182238745
