view,seed,category,student,route,accuracy_minus_row_level,macro_f1_minus_row_level
inverse_test_group_size,123,teacher,,C_CL_MLP_loss_fair,0.00194663047227428,-0.0010070999780383838
pure_group_representative,123,teacher,,C_CL_MLP_loss_fair,0.00194663047227428,-0.0010070999780384948
inverse_test_group_size,123,teacher,,C_CL_MLP_loss_ext,0.0018693497814340487,-0.0007983484430834631
pure_group_representative,123,teacher,,C_CL_MLP_loss_ext,0.0018693497814340487,-0.0007983484430836851
inverse_test_group_size,123,teacher,,C2_CL_MLP_domain,0.001999587958280813,-0.0002757658298550014
pure_group_representative,123,teacher,,C2_CL_MLP_domain,0.001999587958280813,-0.00027576582985522347
inverse_test_group_size,123,teacher,,G_random_pacing_teacher,0.0021343378638900568,-3.2791558862710346e-06
pure_group_representative,123,teacher,,G_random_pacing_teacher,0.0021343378638900568,-3.2791558862710346e-06
inverse_test_group_size,123,teacher,,I_SMOTE_MLP_teacher,0.0012951966412342308,0.0012122889411487758
pure_group_representative,123,teacher,,I_SMOTE_MLP_teacher,0.0012951966412342308,0.0012122889411484428
inverse_test_group_size,123,student,student_A,D_Small_MLP,0.0021510323422612165,0.0006656402720136567
pure_group_representative,123,student,student_A,D_Small_MLP,0.0021510323422612165,0.0006656402720136567
inverse_test_group_size,123,student,student_A,E_KD_from_RF,0.0025944191176168196,0.0009603297357686502
pure_group_representative,123,student,student_A,E_KD_from_RF,0.0025944191176168196,0.0009603297357683171
inverse_test_group_size,123,student,student_A,E2_KD_from_MLP,0.0022249107942110546,0.0005486432347066028
pure_group_representative,123,student,student_A,E2_KD_from_MLP,0.0022249107942110546,0.0005486432347064918
inverse_test_group_size,123,student,student_A,F_KD_from_CL_MLP_fair,0.0018654931238194505,-0.0011086072571074856
pure_group_representative,123,student,student_A,F_KD_from_CL_MLP_fair,0.0018654931238194505,-0.0011086072571075967
inverse_test_group_size,123,student,student_A,F_KD_from_CL_MLP_ext,0.002355148971057597,0.0009807238334053059
pure_group_representative,123,student,student_A,F_KD_from_CL_MLP_ext,0.002355148971057597,0.0009807238334050838
inverse_test_group_size,123,student,student_A,G_KD_random_pacing,0.0024745991293584346,0.0017105314166198093
pure_group_representative,123,student,student_A,G_KD_random_pacing,0.0024745991293584346,0.0017105314166198093
inverse_test_group_size,123,student,student_A,I_KD_from_SMOTE_MLP,0.002148285174518927,0.0004369324841452249
pure_group_representative,123,student,student_A,I_KD_from_SMOTE_MLP,0.002148285174518927,0.0004369324841452249
inverse_test_group_size,123,student,student_A,J_CoDistill_RF_CL,0.002418566940035727,0.0014005998168322709
pure_group_representative,123,student,student_A,J_CoDistill_RF_CL,0.002418566940035727,0.0014005998168318268
inverse_test_group_size,123,student,student_B,D_Small_MLP,0.0019150060765521504,0.0007290591600057628
pure_group_representative,123,student,student_B,D_Small_MLP,0.0019150060765521504,0.0007290591600055407
