view,seed,category,student,route,class_id,class_name,precision,recall,f1,support
pure_group_representative,42,teacher,,B_Full_MLP,1,Flooding,0.87569573283859,0.9957805907172996,0.9318854886475815,474.0
pure_group_representative,42,teacher,,B_Full_MLP,2,Grayhole,0.9105322763306908,0.8507936507936508,0.8796498905908097,1890.0
pure_group_representative,42,teacher,,B_Full_MLP,3,Normal,0.9988120406725058,0.9959644226715121,0.9973861991314139,49807.0
pure_group_representative,42,teacher,,B_Full_MLP,4,TDMA,0.9558521560574949,0.9423076923076923,0.9490316004077471,988.0
row_level,42,teacher,,C_CL_MLP_loss_fair,0,Blackhole,0.760549558390579,0.9748427672955975,0.8544652701212789,1590.0
row_level,42,teacher,,C_CL_MLP_loss_fair,1,Flooding,0.8850987432675045,0.9959595959595959,0.9372623574144486,495.0
row_level,42,teacher,,C_CL_MLP_loss_fair,2,Grayhole,0.9259052924791087,0.7733829688227082,0.8427991886409736,2149.0
row_level,42,teacher,,C_CL_MLP_loss_fair,3,Normal,0.9988414107297149,0.9959859017035442,0.9974116124477911,51070.0
row_level,42,teacher,,C_CL_MLP_loss_fair,4,TDMA,0.9533941236068896,0.9438314944834504,0.9485887096774194,997.0
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,0,Blackhole,0.725519287833829,0.9635467980295566,0.827761320355481,1014.9999999999998
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,1,Flooding,0.8822429906542056,0.9957805907172996,0.9355797819623389,474.0
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,2,Grayhole,0.923497267759563,0.8047619047619043,0.8600508905852415,1890.0000000000002
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,3,Normal,0.998812112426512,0.9960246551689521,0.9974164362905252,49807.00000000006
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_fair,4,TDMA,0.9549180327868853,0.9433198380566802,0.9490835030549898,988.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,0,Blackhole,0.7255192878338279,0.9635467980295567,0.8277613203554803,1015.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,1,Flooding,0.8822429906542056,0.9957805907172996,0.9355797819623389,474.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,2,Grayhole,0.9234972677595629,0.8047619047619048,0.8600508905852418,1890.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,3,Normal,0.998812112426512,0.9960246551689521,0.9974164362905252,49807.0
pure_group_representative,42,teacher,,C_CL_MLP_loss_fair,4,TDMA,0.9549180327868853,0.9433198380566802,0.9490835030549898,988.0
row_level,42,teacher,,C_CL_MLP_loss_ext,0,Blackhole,0.7824947589098532,0.9389937106918239,0.8536306460834763,1590.0
row_level,42,teacher,,C_CL_MLP_loss_ext,1,Flooding,0.8835125448028673,0.9959595959595959,0.936372269705603,495.0
row_level,42,teacher,,C_CL_MLP_loss_ext,2,Grayhole,0.8957150232318017,0.8073522568636575,0.8492413117963779,2149.0
row_level,42,teacher,,C_CL_MLP_loss_ext,3,Normal,0.9988607793840352,0.9957705110632465,0.9973132513580828,51070.0
row_level,42,teacher,,C_CL_MLP_loss_ext,4,TDMA,0.9533468559837728,0.9428284854563691,0.9480584972264247,997.0
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,0,Blackhole,0.751181102362206,0.9399014778325123,0.835010940919038,1014.9999999999998
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,1,Flooding,0.8805970149253731,0.9957805907172996,0.9346534653465347,474.0
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,2,Grayhole,0.9067357512953363,0.8333333333333327,0.8684863523573196,1890.0000000000002
inverse_test_group_size,42,teacher,,C_CL_MLP_loss_ext,3,Normal,0.9988319639117126,0.9958038026783383,0.9973155846897841,49807.00000000006
