view,family,seed,left_route,right_route,left_macro_f1,right_macro_f1,macro_f1_delta,class_0_Blackhole_f1_delta,class_1_Flooding_f1_delta,class_2_Grayhole_f1_delta,class_3_Normal_f1_delta,class_4_TDMA_f1_delta
row_level,teacher,42,C_CL_MLP_loss_fair,B_Full_MLP,0.9161054276603824,0.9201107998138525,-0.004005372153470077,-0.0064042950961124,0.003550236202327417,-0.017254170563489213,2.9490495854100907e-05,5.187819406926586e-05
row_level,teacher,123,C_CL_MLP_loss_fair,B_Full_MLP,0.9170251114028218,0.9203650549751139,-0.003339943572292059,-0.01009929853589131,0.005210189936087795,-0.008867873461654852,-8.84182275968648e-05,-0.0028543175724043968
row_level,teacher,456,C_CL_MLP_loss_fair,B_Full_MLP,0.911215295668106,0.9205338797123531,-0.009318584044247125,-0.021675327090489582,0.00869092884302003,-0.03756628271679274,0.00016725849896115363,0.003790502244064964
row_level,teacher,789,C_CL_MLP_loss_fair,B_Full_MLP,0.9120716613883417,0.9207113060969737,-0.008639644708631988,-0.01753937845891873,-0.0008883987378611735,-0.023708593782049037,-0.0001180229631873031,-0.0009438296011442526
row_level,teacher,1001,C_CL_MLP_loss_fair,B_Full_MLP,0.9151102050030537,0.9221916295812832,-0.007081424578229467,-0.020252435635608856,-0.007817390340130626,-0.010043520738964418,-6.887657804943714e-05,0.002775100401606445
row_level,teacher,2024,C_CL_MLP_loss_fair,B_Full_MLP,0.9152122601373005,0.9212799873472985,-0.006067727209998042,-0.013219181367971622,-0.005345646271104565,-0.01204379966256841,-0.0002064456283066285,0.0004764368799611285
row_level,teacher,3141,C_CL_MLP_loss_fair,B_Full_MLP,0.9222299396726287,0.9251947094524192,-0.0029647697797905437,-0.007847827314643618,0.004416826586249867,-0.009980533168146843,9.831900375179004e-06,-0.0014221469027876354
row_level,teacher,5678,C_CL_MLP_loss_fair,B_Full_MLP,0.9156037654201054,0.921910593775514,-0.0063068283554086335,-0.015409866508671821,-0.0026652010163443762,-0.015942231539715856,0.00010814454187146882,0.0023750127458176395
row_level,teacher,8192,C_CL_MLP_loss_fair,B_Full_MLP,0.9141082433084872,0.9233449207333612,-0.009236677424873996,-0.019864648787116357,0.0008883987378611735,-0.026692310561749144,-3.9374505188427555e-05,-0.0004754520081777791
row_level,teacher,9999,C_CL_MLP_loss_fair,B_Full_MLP,0.9129440378114951,0.9238687907765941,-0.010924752965098983,-0.018800669132618242,-0.0034415584415584677,-0.03255265820267672,-0.00030483685682836104,0.00047595780818654454
row_level,teacher,42,C_CL_MLP_loss_ext,B_Full_MLP,0.9169231952339929,0.9201107998138525,-0.00318760457985956,-0.007238919133915056,0.00266014849348184,-0.010812047408084946,-6.88705938541867e-05,-0.00047833425692545006
row_level,teacher,123,C_CL_MLP_loss_ext,B_Full_MLP,0.9211525003497517,0.9203650549751139,0.0007874453746378185,-0.004737174902302299,0.0007597272865730309,0.006959398849767373,0.0,0.0009552756391515427
row_level,teacher,456,C_CL_MLP_loss_ext,B_Full_MLP,0.919649098425694,0.9205338797123531,-0.000884781286659142,-0.0023583023583023666,0.006912442396313279,-0.00995237833749274,2.9556306857525527e-05,0.0009447755593290363
row_level,teacher,789,C_CL_MLP_loss_ext,B_Full_MLP,0.9145758478206074,0.9207113060969737,-0.006135458276366301,-0.014993877631630959,-0.0008883987378611735,-0.01659983267460985,-8.852726050645465e-05,0.0018933449227772625
