view,category,student,route,class_id,class_name,f1_mean,f1_sample_sd,f1_values_json
inverse_test_group_size,student,student_A,D_Small_MLP,0,Blackhole,0.8449717720632755,0.010381738696583872,"[0.8567567567567578,0.839301310043669,0.8408091468777491,0.8540387340576295,0.8454545454545462,0.8430257979886324,0.8320346320346328,0.8647670737222987,0.8376300316598836,0.8358996920369564]"
inverse_test_group_size,student,student_A,D_Small_MLP,1,Flooding,0.9301632343519307,0.004725230304453633,"[0.9271653543307087,0.923679060665362,0.932806324110672,0.9291338582677166,0.923828125,0.9263984298331698,0.932806324110672,0.9346534653465347,0.9365079365079365,0.9346534653465347]"
inverse_test_group_size,student,student_A,D_Small_MLP,2,Grayhole,0.8585619750442973,0.02312629418178254,"[0.8134161490683232,0.864285714285714,0.8517722878625131,0.8546188793538617,0.882766072393301,0.8657369428493299,0.8620498614958447,0.8883508205542106,0.8285203168924096,0.8741027056874653]"
inverse_test_group_size,student,student_A,D_Small_MLP,3,Normal,0.9962224159903643,0.0011856916526093704,"[0.9936835307650395,0.99681147466782,0.9963771032928106,0.9953157581923864,0.9970331781199401,0.9967709810785527,0.996932422782544,0.996982801971236,0.9949408421179933,0.9973760669153203]"
inverse_test_group_size,student,student_A,D_Small_MLP,4,TDMA,0.940540156549085,0.0035071255013214855,"[0.9399293286219081,0.9428426909458776,0.9461928934010152,0.9395161290322581,0.9371543489190548,0.9422492401215805,0.9361488185017597,0.9414141414141414,0.935678391959799,0.9442755825734549]"
inverse_test_group_size,student,student_A,E2_KD_from_MLP,0,Blackhole,0.8275643128430824,0.006291262958977684,"[0.8356596127870337,0.8307826847398347,0.8282560706401776,0.825935596170584,0.8384439359267744,0.8166368515205733,0.8248587570621475,0.8247330960854102,0.8276785714285722,0.8226579520697174]"
inverse_test_group_size,student,student_A,E2_KD_from_MLP,1,Flooding,0.936139250544314,0.001705023465144611,"[0.9365079365079365,0.9355797819623389,0.932806324110672,0.9355797819623389,0.9355797819623389,0.9383697813121272,0.9374379344587885,0.9365079365079365,0.9346534653465347,0.9383697813121272]"
inverse_test_group_size,student,student_A,E2_KD_from_MLP,2,Grayhole,0.8693260108069925,0.0056489505006803225,"[0.8753733369535703,0.8715953307392996,0.870860927152318,0.8644444444444443,0.8812281174252624,0.8684210526315789,0.8625381838378227,0.8654108654108652,0.8675749318801089,0.8658129175946546]"
inverse_test_group_size,student,student_A,E2_KD_from_MLP,3,Normal,0.9973296841750099,0.00012089611019397607,"[0.9972349303705194,0.9975675458346736,0.9973659870511119,0.9973559069842259,0.9972752591520124,0.9973458267146562,0.997214764763255,0.9972046254399196,0.9972450128700129,0.9974869825697111]"
inverse_test_group_size,student,student_A,E2_KD_from_MLP,4,TDMA,0.9416814457458896,0.0034116439361724037,"[0.9409389197375063,0.9471007121057986,0.94188984335523,0.9442755825734549,0.9404641775983855,0.9357429718875502,0.9375629405840886,0.9408792319353209,0.9452332657200812,0.94272681196148]"
inverse_test_group_size,student,student_A,E_KD_from_RF,0,Blackhole,0.811908485582555,0.006353265159998823,"[0.810115350488022,0.8068592057761742,0.816615112682281,0.801225919439581,0.8170289855072471,0.8098495212038312,0.8222698072805146,0.8173515981735165,0.8113912231559298,0.8063781321184519]"
inverse_test_group_size,student,student_A,E_KD_from_RF,1,Flooding,0.9388931712691088,0.0005308938899465319,"[0.9393034825870646,0.9393034825870646,0.9393034825870646,0.9393034825870646,0.9382470119521913,0.9383697813121272,0.9382470119521913,0.9393034825870646,0.9393034825870646,0.9382470119521913]"
inverse_test_group_size,student,student_A,E_KD_from_RF,2,Grayhole,0.8659738398723252,0.005912880585568594,"[0.8623087621696801,0.8636488340192046,0.8659966499162483,0.8529082774049224,0.8720898384004381,0.8668307355756086,0.8642816581487792,0.8725382932166301,0.8723231227975061,0.8668122270742358]"
inverse_test_group_size,student,student_A,E_KD_from_RF,3,Normal,0.9979749715519658,4.3754085165869435e-05,"[0.9979910803969625,0.9979305217897972,0.9979307712397292,0.9979004048501653,0.9980110497237569,0.9980112894477813,0.9980211545608871,0.9979811371922741,0.9979512312698349,0.9980210750484686]"
inverse_test_group_size,student,student_A,E_KD_from_RF,4,TDMA,0.9617542586658614,0.0019100872725371432,"[0.9618163054695562,0.9597938144329897,0.9588477366255144,0.9608247422680413,0.9622739018087856,0.9658031088082901,0.9627714581178903,0.9617768595041323,0.9608247422680413,0.9628099173553719]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,0,Blackhole,0.8236867842307802,0.007857701989377132,"[0.8327495621716293,0.8259325044404984,0.8194207836456566,0.8256959314775171,0.8181026979982597,0.8142292490118584,0.8235294117647073,0.8307830783078318,0.8349344978165946,0.8114901256732502]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,1,Flooding,0.9356753494182712,0.001715025400776256,"[0.9374379344587885,0.9365079365079365,0.9355797819623389,0.9365079365079365,0.9355797819623389,0.933728981206726,0.9355797819623389,0.9374379344587885,0.9318854886475815,0.9365079365079365]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,2,Grayhole,0.8641616704903115,0.005887123784855854,"[0.8679349324510613,0.8700906344410871,0.8556933483652762,0.8589025755879057,0.8595224875069404,0.8602269582064764,0.8625277161862526,0.8724905046120456,0.8713968957871399,0.8628306517589309]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,3,Normal,0.9973337283093665,8.91297799095867e-05,"[0.9972651772607533,0.9974466202903213,0.9972450128700129,0.9972248476682688,0.9974768544114838,0.9973559601483879,0.9973155846897841,0.9972550951667555,0.9973357462423968,0.9974163843455008]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,4,TDMA,0.9432710773021814,0.0028087741351684463,"[0.9432048681541582,0.943683409436834,0.9380976346250629,0.94188984335523,0.9489795918367347,0.9413549039433772,0.9437404967055246,0.9423076923076923,0.9442190669371197,0.9452332657200812]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,0,Blackhole,0.830675299600182,0.008228117080303174,"[0.8420153714773707,0.8388501742160286,0.8291413703382488,0.825992150021806,0.8241206030150763,0.8228718830610497,0.8453063023358319,0.8241610738255044,0.8286219081272095,0.8256721595836954]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,1,Flooding,0.9363137549263758,0.002188441503161545,"[0.9393034825870646,0.9345238095238095,0.9365079365079365,0.9374379344587885,0.9355797819623389,0.9318854886475815,0.9346534653465347,0.9374379344587885,0.9374379344587885,0.9383697813121272]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,2,Grayhole,0.868162084409793,0.005692880214929721,"[0.8684431977559607,0.873575993331481,0.8669456066945606,0.8644302744663155,0.8737864077669902,0.8603414497621045,0.8778205833791962,0.8670299727520434,0.8687757909215954,0.8604715672676836]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,3,Normal,0.9973085308227105,9.289550214471381e-05,"[0.9972753139421482,0.9973458267146562,0.9974466716258872,0.9972349303705194,0.9973357462423968,0.9973559069842259,0.9971945983449135,0.9973055036094187,0.9974264631964131,0.9971643471965248]"
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,4,TDMA,0.9423342915737714,0.0031806583673905115,"[0.9427848101265823,0.9408792319353209,0.945712836123795,0.9375629405840886,0.9418310571573091,0.94667343829355,0.938508064516129,0.9432624113475178,0.9461382113821138,0.9399899142713061]"
inverse_test_group_size,student,student_A,G_KD_random_pacing,0,Blackhole,0.8316274609719507,0.009452861944905355,"[0.8486159169550183,0.8265261308739574,0.8214753382802273,0.8313827481577815,0.8424875170222433,0.8375165125495384,0.8368489022815335,0.8274021352313178,0.8233719892952728,0.8206474190726167]"
inverse_test_group_size,student,student_A,G_KD_random_pacing,1,Flooding,0.9357668815834759,0.0012952341009986514,"[0.9346534653465347,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9355797819623389,0.9355797819623389,0.9355797819623389,0.932806324110672,0.9365079365079365,0.9374379344587885]"
