view,category,student,route,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd
inverse_test_group_size,student,student_A,D_Small_MLP,0.9866614981356369,0.002002826094895535,0.890058272828744,0.009381053813042169,0.9433816633874113,0.0028203665817928525,0.9140919107997905,0.005454561689798275
inverse_test_group_size,student,student_A,E2_KD_from_MLP,0.9879074832945693,0.0003485506793115175,0.8958544980367569,0.002607665514747638,0.9383411921126438,0.0018206963528046678,0.9144081408230577,0.002340273391046438
inverse_test_group_size,student,student_A,E_KD_from_RF,0.9885406283457009,0.000341012400078465,0.9040427508696023,0.0026875140450320495,0.9313566350162509,0.002563820818826647,0.9153009453883632,0.0022267702974036194
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_ext,0.9876712075903569,0.0003530832479424652,0.8944860720355715,0.0026430690679304907,0.9374439557310096,0.0028002528493163187,0.9128257219501823,0.0026503313237928746
inverse_test_group_size,student,student_A,F_KD_from_CL_MLP_fair,0.9879167128142651,0.00033364993832846467,0.8963939724889641,0.002471969170310213,0.9398137362340696,0.0031060783527272037,0.9149587922665665,0.002401593132919249
inverse_test_group_size,student,student_A,G_KD_random_pacing,0.9880053162033449,0.0003553651412865012,0.8968228013835671,0.002863348399615718,0.9400541185176958,0.003459136442956159,0.9154041694882359,0.0029207271917763514
inverse_test_group_size,student,student_A,I_KD_from_SMOTE_MLP,0.9876841289179312,0.000813446022085804,0.893903691955423,0.0062179568154432764,0.9376971310835962,0.005167337586274089,0.9132273201379458,0.005530510489633381
inverse_test_group_size,student,student_A,J_CoDistill_RF_CL,0.9887584450105218,0.0008182350800447373,0.9040151080989416,0.006512536899334157,0.9356507817057654,0.0046703741059441065,0.9178609778899736,0.0059080931129042525
inverse_test_group_size,student,student_B,D_Small_MLP,0.9903957618045556,0.000722817999238263,0.9136898965066766,0.006202241936780574,0.9538059408902411,0.004757706505069087,0.9319770911692424,0.0056115864159390245
inverse_test_group_size,student,student_B,E2_KD_from_MLP,0.9888876582862629,0.0004021642519380337,0.9032083845658396,0.0032504804056515055,0.9448497216046274,0.002755671983383833,0.9215835485872793,0.002876842856999346
