student,runtime,variant,accuracy,macro_f1,agreement_vs_pytorch_fp32,agreement_vs_onnxruntime_fp32,serialized_size_bytes,latency_mean_ms_b1,latency_sample_std_ms_b1,latency_median_ms_b1,latency_p95_ms_b1,latency_p99_ms_b1
student_A,onnxruntime,fp32,0.9862524644322481,0.9160761302322431,1.0,,5573,0.030758333333333332,0.012333054962359116,0.0279,0.053305,0.07943899999999997
student_A,onnxruntime,dynamic_int8_weights,0.9851157173051989,0.909281125402534,0.9970693238130761,,5191,0.33970066666666665,5.090580457608363,0.0347,0.10097000000000002,0.175288999999998
student_A,openvino,fp32_from_onnx,0.9862524644322481,0.9160761302322431,1.0,1.0,,0.5230036666666666,4.15946720076028,0.17525000000000002,0.28138000000000013,0.5895519999999999
student_B,onnxruntime,fp32,0.9872115948206959,0.9223807931422797,1.0,,14407,0.041862,0.05628712841687752,0.0328,0.07638000000000003,0.13639199999999982
student_B,onnxruntime,dynamic_int8_weights,0.9870872631036749,0.9213228237895137,0.9954707731656631,,7547,0.04320233333333333,0.015846661588503664,0.0396,0.07630500000000005,0.10192399999999989
student_B,openvino,fp32_from_onnx,0.9872115948206959,0.9223807931422797,1.0,1.0,,0.13927733333333334,0.0354215325678285,0.12495,0.189865,0.2396519999999997
